wind_speed_kmph,humidity_pct,payload_mass_kg,vehicle_type_index,countdown_hold_min
23.4,65.4,1558.7,3,62.79
13.5,81.4,580.7,1,56.61
22.5,57.4,16659.2,4,79.54
3.8,48.2,7021.3,3,52.45
35.8,53.6,14808.7,3,52.21
1.0,54.0,3883.4,4,58.27
5.9,76.0,10896.4,3,71.42
3.5,72.9,14978.2,3,97.0
35.3,83.3,14866.6,4,91.56
19.2,67.3,3084.3,4,51.05
21.7,87.6,5225.4,1,31.09
27.0,41.4,17577.0,1,53.63
37.1,63.8,8166.7,2,50.54
15.7,88.2,14279.0,3,81.2
16.0,48.3,17020.0,1,66.27
36.9,77.4,19979.9,4,97.3
13.0,53.7,8104.1,2,74.78
33.7,81.9,11423.3,2,61.69
38.5,65.9,4450.8,3,51.0
5.4,84.1,9848.0,4,92.42
33.9,43.5,8651.3,4,49.55
39.7,34.5,7229.2,4,46.69
37.7,36.7,8053.0,3,38.07
21.1,49.7,17020.2,3,54.41
7.2,72.4,17341.5,4,86.22
